pH,TDS,Turbidity,WaterTemp,AirTemp,Humidity,Rain,Label
6.19,128.0,64.6,20.8,26.3,74.9,0,Poor
8.78,673.0,9.3,28.0,36.7,66.8,0,Poor
7.79,383.0,17.0,28.1,31.6,55.5,0,Moderate
7.19,558.0,90.0,29.6,35.7,80.7,0,Poor
5.2,917.0,61.0,30.9,29.2,74.2,0,Poor
5.2,324.0,1.9,34.6,36.6,48.1,0,Poor
4.76,469.0,11.0,27.7,30.1,85.5,0,Poor
8.4,780.0,66.7,24.8,25.1,81.1,0,Poor
7.21,306.0,1.5,31.9,36.8,87.5,0,Moderate
7.69,169.0,16.9,24.1,26.2,76.3,1,Moderate
4.59,361.0,55.3,26.6,29.2,70.7,0,Poor
8.86,245.0,69.5,21.2,37.4,60.9,1,Poor
8.25,937.0,65.5,20.4,37.4,86.6,1,Poor
5.46,827.0,23.2,34.4,32.5,83.3,0,Poor
5.32,670.0,71.5,32.5,33.2,42.3,1,Poor
5.33,884.0,24.5,30.4,30.8,41.3,1,Poor
5.87,823.0,33.2,26.1,28.8,58.8,0,Poor
6.86,268.0,74.9,22.6,29.3,80.5,0,Poor
6.44,903.0,65.3,22.3,33.7,89.4,1,Poor
5.81,585.0,85.1,23.8,34.8,47.5,1,Poor
7.25,827.0,66.1,28.2,35.3,69.7,0,Poor
5.13,906.0,57.3,30.7,35.3,59.0,0,Poor
5.81,386.0,10.3,29.9,26.2,88.5,0,Moderate
6.15,199.0,37.4,24.2,31.4,82.1,0,Moderate
6.55,305.0,27.3,34.3,25.7,81.9,1,Moderate
8.03,484.0,25.2,31.1,32.1,63.4,0,Moderate
5.4,836.0,97.3,28.3,30.7,60.7,0,Poor
6.81,875.0,39.9,29.2,36.5,53.7,1,Poor
7.17,106.0,89.3,26.3,29.6,42.8,0,Poor
4.71,560.0,63.5,23.7,26.5,83.2,0,Poor
7.23,476.0,79.7,25.3,26.9,80.6,1,Poor
5.27,300.0,50.8,31.4,34.9,90.0,1,Poor
4.79,208.0,58.1,20.2,33.0,89.8,0,Poor
8.77,404.0,49.8,21.7,26.3,67.8,0,Moderate
8.85,949.0,20.3,20.7,26.1,78.4,0,Poor
8.14,391.0,72.5,20.6,34.1,87.2,0,Poor
5.87,567.0,28.8,32.8,25.9,82.5,0,Moderate
4.94,733.0,3.4,30.6,35.7,52.4,0,Poor
7.58,427.0,64.9,27.1,34.2,62.5,0,Poor
6.48,975.0,18.5,21.5,26.1,46.5,0,Poor
5.05,966.0,94.1,27.4,26.1,87.7,0,Poor
6.73,327.0,95.4,27.1,37.8,70.3,0,Poor
